,0,1,2,3,4
499,6,28,14,8,[1]
500,8,27,14,6,[2]
501,10,27,14,4,[5]
502,12,30,14,2,[2]
503,14,30,14,0,[0]
504,2,28,14,12,[0]
505,4,26,14,10,[5]
506,6,29,14,8,[5]
507,8,32,14,6,[3]
508,10,33,14,4,[0]
509,12,31,14,2,[2]
510,14,31,14,0,[1]
511,2,30,14,12,[1]
512,4,29,14,10,[4]
513,6,31,14,8,[4]
514,8,33,14,6,[4]
515,10,35,14,4,[0]
516,12,33,14,2,[3]
517,14,34,14,0,[3]
518,2,35,14,12,[5]
519,4,38,14,10,[0]
520,6,36,14,8,[2]
521,8,36,14,6,[0]
522,10,34,14,4,[3]
523,12,35,14,2,[4]
524,14,37,14,0,[1]
525,1,0,14,13,[5]
526,3,3,14,11,[4]
527,5,5,14,9,[1]
528,7,4,14,7,[5]
529,9,7,14,5,[2]
530,11,7,14,3,[0]
531,13,5,14,1,[4]
532,2,7,14,12,[2]
533,4,7,14,10,[4]
534,6,9,14,8,[5]
535,8,12,14,6,[3]
536,10,13,14,4,[5]
537,12,16,14,2,[3]
538,14,17,14,0,[0]
539,2,15,14,12,[5]
540,4,18,14,10,[3]
541,6,19,14,8,[4]
542,8,21,14,6,[4]
543,10,23,14,4,[5]
544,12,26,14,2,[5]
545,14,29,14,0,[1]
546,2,28,14,12,[0]
547,4,26,14,10,[2]
548,6,26,14,8,[5]
549,8,29,14,6,[4]
550,10,31,14,4,[5]
551,12,34,14,2,[3]
552,14,35,14,0,[0]
553,2,33,14,12,[3]
554,4,34,14,10,[5]
555,6,37,14,8,[0]
556,8,35,14,6,[5]
557,10,38,14,4,[2]
558,12,38,14,2,[3]
559,14,39,14,0,[4]
560,2,41,14,12,[5]
561,4,44,14,10,[0]
562,6,42,14,8,[0]
563,8,40,14,6,[2]
564,10,40,14,4,[5]
565,12,43,14,2,[3]
566,14,44,14,0,[5]
567,2,47,14,12,[1]
568,4,46,14,10,[4]
569,6,48,14,8,[1]
570,8,47,14,6,[1]
571,10,46,14,4,[0]
572,12,44,14,2,[5]
573,14,47,14,0,[5]
574,2,48,14,12,[5]
575,4,48,14,10,[2]
576,6,48,14,8,[1]
577,8,47,14,6,[4]
578,10,48,14,4,[5]
579,12,48,14,2,[5]
580,14,48,14,0,[4]
581,2,48,14,12,[3]
582,4,48,14,10,[1]
583,6,47,14,8,[1]
584,8,46,14,6,[3]
585,10,47,14,4,[3]
586,12,48,14,2,[1]
587,14,47,14,0,[5]
588,2,48,14,12,[2]
589,4,48,14,10,[1]
590,6,47,14,8,[1]
591,8,46,14,6,[1]
592,10,45,14,4,[4]
593,12,47,14,2,[2]
594,14,47,14,0,[5]
595,2,48,14,12,[1]
596,4,47,14,10,[4]
597,6,48,14,8,[0]
598,8,46,14,6,[1]
599,10,45,14,4,[0]
600,12,43,14,2,[5]
601,14,46,14,0,[2]
602,2,46,14,12,[1]
603,4,45,14,10,[0]
604,6,43,14,8,[0]
605,8,41,14,6,[5]
606,10,44,14,4,[5]
607,12,47,14,2,[0]
608,14,45,14,0,[4]
609,2,47,14,12,[4]
610,4,48,14,10,[5]
611,6,48,14,8,[5]
612,8,48,14,6,[5]
613,10,48,14,4,[3]
614,12,48,14,2,[4]
615,14,48,14,0,[0]
616,2,46,14,12,[3]
617,4,47,14,10,[4]
618,6,48,14,8,[1]
619,8,47,14,6,[1]
620,10,46,14,4,[0]
621,12,44,14,2,[1]
622,14,43,14,0,[4]
