,PRODUCT's inventory,MATERIAL 1's inventory,PRODUCT's Change,MATERIAL 1's Change,Remaining Demand,Action
1312,26,86,8,86,78,[2]
1314,0,76,4,76,100,[0]
1315,4,86,0,67,97,[2]
1316,4,76,0,86,97,[2]
1317,8,86,0,76,94,[1]
1318,12,86,0,71,90,[2]
1319,14,81,0,81,89,[1]
1320,18,86,0,71,85,[1]
1321,20,81,0,76,84,[3]
1323,0,76,4,76,100,[2]
1324,4,86,0,76,97,[2]
1325,8,86,0,76,93,[5]
1326,12,86,0,90,90,[1]
1327,16,86,6,71,87,[2]
1328,20,86,4,76,84,[5]
1329,24,86,4,90,80,[0]
1330,28,86,10,67,77,[1]
1332,0,76,4,76,100,[0]
1333,4,86,0,67,97,[4]
1334,4,76,0,95,97,[5]
1335,8,86,4,90,94,[1]
1336,12,86,10,71,91,[3]
1337,16,86,8,81,88,[1]
1338,20,86,10,71,85,[3]
1339,24,86,8,81,82,[4]
1341,0,76,4,76,100,[3]
1342,4,86,0,81,97,[4]
1343,8,86,2,86,94,[4]
1344,12,86,6,86,91,[1]
1345,16,86,10,71,88,[1]
1346,20,86,8,71,85,[0]
1347,24,86,6,67,82,[0]
1348,28,86,2,67,79,[4]
1350,0,76,4,76,100,[1]
1351,4,86,0,71,97,[5]
1352,6,81,0,95,95,[0]
1353,10,86,6,67,92,[2]
1354,14,86,2,76,88,[2]
1355,18,86,2,76,85,[0]
1356,22,86,2,67,82,[1]
1357,24,81,0,76,80,[2]
1359,0,76,4,76,100,[0]
1360,4,86,0,67,97,[5]
1361,4,76,0,100,97,[4]
1362,8,86,6,86,93,[1]
1363,12,86,10,71,90,[5]
1364,16,86,8,90,87,[5]
1365,20,86,14,90,83,[1]
1366,24,86,20,71,80,[5]
1368,0,76,4,76,100,[0]
1369,4,86,0,67,97,[0]
1370,4,76,0,76,97,[3]
1371,4,76,0,90,97,[0]
1372,8,86,2,67,93,[1]
1373,10,81,0,76,92,[1]
1374,12,81,0,76,90,[0]
1375,14,81,0,71,88,[2]
1377,0,76,4,76,100,[1]
1378,4,86,0,71,97,[0]
1379,6,81,0,71,95,[0]
1380,6,76,0,76,95,[5]
1381,6,76,0,100,95,[2]
1382,10,86,6,76,92,[4]
1383,14,86,6,86,89,[1]
1384,18,86,10,71,86,[2]
1386,0,76,4,76,100,[5]
1387,4,86,0,90,97,[4]
1388,8,86,6,86,94,[4]
1389,12,86,10,86,91,[2]
1390,16,86,14,76,88,[1]
1391,20,86,14,71,85,[4]
1392,24,86,12,86,82,[3]
1393,28,86,16,81,78,[0]
1395,0,76,4,76,100,[4]
1396,4,86,0,86,97,[2]
1397,8,86,4,76,94,[2]
1398,12,86,4,76,90,[4]
1399,16,86,4,86,87,[5]
1400,20,86,8,90,84,[4]
1401,24,86,14,86,81,[1]
1402,28,86,18,71,77,[4]
1404,0,76,4,76,100,[0]
1405,4,86,0,67,97,[5]
1406,4,76,0,100,97,[2]
1407,8,86,6,76,93,[3]
1408,12,86,6,81,90,[3]
1409,16,86,8,81,87,[4]
